date,last_price,open_price,max_price,min_price,avg_price
3/1/2008,3.2,3.2,3.2,3.1,3.2
2/1/2008,3.2,3.2,3.2,3.1,3.2
1/1/2008,3.2,3.1,3.2,3.1,3.2
12/1/2007,3.2,3.1,3.2,3.1,3.1
11/1/2007,3.1,3.1,3.2,3.1,3.1
10/1/2007,3.1,3.1,3.2,3.1,3.1
9/1/2007,3.1,3.2,3.2,3.1,3.2
8/1/2007,3.2,3.1,3.2,3.1,3.1
7/1/2007,3.1,3.1,3.2,3.1,3.1
6/1/2007,3.1,3.1,3.1,3.1,3.1
5/1/2007,3.1,3.1,3.1,3.1,3.1
4/1/2007,3.1,3.1,3.1,3.1,3.1
3/1/2007,3.1,3.1,3.1,3.1,3.1
2/1/2007,3.1,3.1,3.1,3.1,3.1
1/1/2007,3.1,3.1,3.1,3.1,3.1
12/1/2006,3.1,3.1,3.1,3,3.1
11/1/2006,3.1,3.1,3.1,3.1,3.1
10/1/2006,3.1,3.1,3.1,3.1,3.1
9/1/2006,3.1,3.1,3.1,3.1,3.1
8/1/2006,3.1,3.1,3.1,3.1,3.1
7/1/2006,3.1,3.1,3.1,3.1,3.1
6/1/2006,3.1,3.1,3.1,3.1,3.1
5/1/2006,3.1,3,3.1,3,3.1
4/1/2006,3,3.1,3.1,3,3.1
3/1/2006,3.1,3.1,3.1,3.1,3.1
2/1/2006,3.1,3.1,3.1,3.1,3.1
1/1/2006,3.1,3,3.1,3,3
12/1/2005,3,3,3.1,3,3
11/1/2005,3,3,3,2.9,3
10/1/2005,3,2.9,3,2.9,3
9/1/2005,2.9,2.9,2.9,2.9,2.9
8/1/2005,2.9,2.9,2.9,2.9,2.9
7/1/2005,2.9,2.9,2.9,2.9,2.9
6/1/2005,2.9,2.9,2.9,2.9,2.9
5/1/2005,2.9,2.9,2.9,2.9,2.9
4/1/2005,2.9,2.9,2.9,2.9,2.9
3/1/2005,2.9,2.9,3,2.9,2.9
2/1/2005,2.9,2.9,2.9,2.9,2.9
1/1/2005,2.9,3,3,2.9,2.9
